complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole (Standard) citing 'pothole' from the description.,
PM-202402,Pothole,Urgent,"Classified as Pothole (Urgent) citing 'pothole', 'child' from the description.",
PM-202406,Flooding,Standard,Classified as Flooding (Standard) citing 'flood' from the description.,
PM-202408,Flooding,Standard,Classified as Flooding (Standard) citing 'flood' from the description.,NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight (Standard) citing 'streetlight' from the description.,
PM-202411,Streetlight,Urgent,"Classified as Streetlight (Urgent) citing 'Streetlight', 'hazard' from the description.",
PM-202413,Waste,Standard,Classified as Waste (Standard) citing 'garbage' from the description.,
PM-202418,Noise,Standard,Classified as Noise (Standard) citing 'music' from the description.,
PM-202419,Road Damage,Standard,Classified as Road Damage (Standard) citing 'Road surface' from the description.,
PM-202420,Drain Blockage,Urgent,"Classified as Drain Blockage (Urgent) citing 'Manhole', 'injury' from the description.",
PM-202427,Flooding,Standard,Classified as Flooding (Standard) citing 'flood' from the description.,
PM-202428,Waste,Standard,Classified as Waste (Standard) citing 'Dead animal' from the description.,
PM-202430,Streetlight,Standard,Classified as Streetlight (Standard) citing 'lights out' from the description.,NEEDS_REVIEW
PM-202433,Waste,Standard,Classified as Waste (Standard) citing 'waste' from the description.,
PM-202446,Road Damage,Urgent,"Classified as Road Damage (Urgent) citing 'Footpath', 'fell' from the description.",
