complaint_id,category,priority,reason,flag
PM-202401,Pothole,Low,The description mentions 'Large pothole 60cm wide causing tyre damage'.,
PM-202402,Pothole,Urgent,The description contains the severity keyword 'child'.,
PM-202406,Flooding,Standard,The description mentions 'Underpass flooded knee-deep after 2hrs rain'.,
PM-202408,Flooding,Standard,The description mentions 'Bus stand flooded'.,
PM-202410,Streetlight,Standard,The description mentions 'Three consecutive streetlights out for 10 days'.,
PM-202411,Streetlight,Urgent,The description contains the severity keyword 'hazard'.,
PM-202413,Waste,Low,The description mentions 'Overflowing garbage bins near vegetable market'.,
PM-202418,Noise,Low,The description mentions 'Wedding venue playing music past midnight on weeknights'.,
PM-202419,Road Damage,Low,The description mentions 'Road surface cracked and sinking near utility work done 1 month ago'.,
PM-202420,Drain Blockage,Urgent,The description contains the severity keyword 'injury'.,
PM-202427,Flooding,Standard,The description mentions 'Bridge approach floods in 30mins of rain'.,
PM-202428,Other,Standard,The description mentions 'Dead animal not removed for 36 hours'.,NEEDS_REVIEW
PM-202430,Streetlight,Standard,"The description mentions 'Heritage street, lights out'.",
PM-202433,Waste,Low,The description mentions 'Bulk waste from apartment renovation dumped on public road'.,
PM-202446,Road Damage,Urgent,The description contains the severity keyword 'fell'.,
