complaint_id,category,priority,reason,flag
GH-202401,water logging,Standard,,
GH-202402,water logging,Standard,,
GH-202406,water logging,Standard,,
GH-202407,water logging,Standard,,
GH-202410,road issue,Standard,,
GH-202411,road issue,Standard,,
GH-202412,road issue,Standard,,
GH-202417,sanitation problem,Standard,,
GH-202420,miscellaneous,Standard,,
GH-202422,road issue,Standard,,
GH-202424,water logging,Standard,,
GH-202428,sanitation problem,Standard,,
GH-202432,miscellaneous,Standard,,
GH-202448,water logging,Standard,,
GH-202438,water logging,Standard,,
