complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Low,The description mentions 'Heritage lamp post knocked over by delivery vehicle'.,
KM-202402,Heritage Damage,Low,The description mentions 'Historic tram road cobblestones broken up by cable laying work'.,
KM-202405,Noise,Low,The description mentions 'Wedding band playing near Tagore Museum at 11pm'.,
KM-202409,Pothole,Low,The description mentions 'Airport access road full of potholes'.,
KM-202410,Pothole,Low,The description mentions 'Pothole causing tyre blowouts'.,
KM-202411,Pothole,Standard,The description mentions 'Deep pothole filling with rainwater'.,
KM-202415,Drain Blockage,Low,The description mentions 'New residential complex draining directly onto public road'.,
KM-202418,Waste,Low,The description mentions 'Tourist zone waste overflowing'.,
KM-202421,Road Damage,Urgent,The description contains the severity keyword 'hospital'.,
KM-202422,Road Damage,Low,The description mentions 'Road surface buckled near bridge'.,
KM-202426,Heritage Damage,Low,The description mentions 'Heritage residential building exterior defaced by billboard installation'.,
KM-202430,Road Damage,Urgent,The description contains the severity keyword 'gas leak'.,
KM-202434,Heritage Damage,Low,The description mentions 'Street paving removed for utility work — heritage stone not replaced'.,
KM-202436,Streetlight,Standard,The description mentions 'Entire colony substation tripped'.,
KM-202438,Noise,Low,The description mentions 'Street vendors using amplifiers illegally in heritage precinct'.,
