complaint_id,category,priority,reason,flag
AM-202401,Other,Low,"No taxonomy keyword match in description; cited words: ""Tarmac"", ""surface"", ""melting"", ""at"", ""44°C."".",NEEDS_REVIEW
AM-202402,Other,Low,"No taxonomy keyword match in description; cited words: ""Metal"", ""bus"", ""shelter"", ""reaching"", ""dangerous"".",NEEDS_REVIEW
AM-202405,Other,Low,"No taxonomy keyword match in description; cited words: ""Dead"", ""trees"", ""with"", ""split"", ""branches."".",NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,"Classified as Heat Hazard based on cited words: ""heatwave"".",
AM-202407,Other,Urgent,"No taxonomy keyword match in description; cited words: ""Broken"", ""bench"", ""and"", ""upturned"", ""paving."". Severity keywords present: ""child"".",NEEDS_REVIEW
AM-202410,Pothole,Standard,"Classified as Pothole based on cited words: ""pothole"".",
AM-202414,Other,Low,"No taxonomy keyword match in description; cited words: ""Residential"", ""colony"", ""unlit"", ""after"", ""9pm."".",NEEDS_REVIEW
AM-202417,Heritage Damage,Standard,"Classified as Heritage Damage based on cited words: ""heritage"".",
AM-202421,Noise,Standard,"Classified as Noise based on cited words: ""music"".",
AM-202424,Road Damage,Standard,"Classified as Road Damage based on cited words: ""road surface"".",
AM-202429,Other,Low,"No taxonomy keyword match in description; cited words: ""River"", ""walk"", ""surface"", ""temperature"", ""unbearable."".",NEEDS_REVIEW
AM-202431,Heritage Damage,Standard,"Classified as Heritage Damage based on cited words: ""heritage"".",
AM-202435,Other,Low,"No taxonomy keyword match in description; cited words: ""Black"", ""metal"", ""road"", ""dividers"", ""storing"".",NEEDS_REVIEW
AM-202444,Waste,Standard,"Classified as Waste based on cited words: ""waste"", ""bin"".",
AM-202445,Other,Low,"No taxonomy keyword match in description; cited words: ""BRT"", ""shelter"", ""roof"", ""glass"", ""broken."".",NEEDS_REVIEW
