complaint_id,category,priority,reason,flag
KM-202401,Streetlight,Standard,"Description mentions 'lamp post', indicating category Streetlight.",NEEDS_REVIEW
KM-202402,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
KM-202405,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
KM-202409,Pothole,Standard,"Description mentions 'pothole', indicating category Pothole.",
KM-202410,Pothole,Standard,"Description mentions 'pothole', indicating category Pothole.",
KM-202411,Pothole,Standard,"Description mentions 'pothole', indicating category Pothole.",
KM-202415,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
KM-202418,Waste,Standard,"Description mentions 'waste', indicating category Waste.",
KM-202421,Other,Urgent,Description contains urgency keyword 'hospital'; classified as Other based on overall context.,NEEDS_REVIEW
KM-202422,Road Damage,Standard,"Description mentions 'road surface', indicating category Road Damage.",
KM-202426,Heritage Damage,Standard,"Description mentions 'heritage', indicating category Heritage Damage.",
KM-202430,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
KM-202434,Heritage Damage,Standard,"Description mentions 'heritage', indicating category Heritage Damage.",
KM-202436,Other,Standard,Description did not match any known category keywords; classified as Other.,NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,"Description mentions 'heritage', indicating category Heritage Damage.",
