complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Standard priority for Pothole.,
PM-202402,Pothole,Urgent,Contains severity keyword: 'child'.,
PM-202406,Flooding,Standard,Standard priority for Flooding.,
PM-202408,Flooding,Standard,Standard priority for Flooding.,NEEDS_REVIEW
PM-202410,Streetlight,Standard,Standard priority for Streetlight.,
PM-202411,Streetlight,Urgent,Contains severity keyword: 'hazard'.,
PM-202413,Waste,Standard,Standard priority for Waste.,
PM-202418,Noise,Standard,Standard priority for Noise.,
PM-202419,Road Damage,Standard,Standard priority for Road Damage.,
PM-202420,Other,Urgent,Contains severity keyword: 'injury'.,
PM-202427,Flooding,Standard,Standard priority for Flooding.,
PM-202428,Waste,Standard,Standard priority for Waste.,
PM-202430,Streetlight,Standard,Standard priority for Streetlight.,NEEDS_REVIEW
PM-202433,Waste,Standard,Standard priority for Waste.,
PM-202446,Road Damage,Urgent,Contains severity keyword: 'fell'.,
