complaint_id,date_raised,city,ward,location,description,reported_by,days_open,category,priority,reason,flag
KC-202401,2024-06-21,Kochi,Ward 4 – Fort Kochi,Princess Street,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Citizen Portal,4,Pothole,Standard,Classified as Pothole with Standard priority because the description mentions 'pothole' and severity indicator 'routine'.,
KC-202402,2024-06-04,Kochi,Ward 3 – Mattancherry,Palace Road,Deep pothole near bus stop. School children at risk during morning hours.,Councillor Referral,12,Pothole,Urgent,Classified as Pothole with Urgent priority because the description mentions 'pothole' and severity indicator 'child'.,
KC-202406,2024-06-08,Kochi,Ward 1 – Edappally,Lulu Mall Underpass,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Councillor Referral,8,Flooding,Standard,Classified as Flooding with Standard priority because the description mentions 'flood' and severity indicator 'routine'.,
KC-202408,2024-06-05,Kochi,Ward 3 – Vyttila,Vyttila Mobility Hub,Bus stand flooded. Passengers standing in water. Drain blocked.,Ward Office Walk-in,12,Flooding,Standard,Classified as Flooding with Standard priority because the description mentions 'flood' and severity indicator 'routine'.,
KC-202410,2024-06-04,Kochi,Ward 2 – Kaloor,Stadium Link Road,Three consecutive streetlights out for 10 days. Area very dark at night.,Email,18,Streetlight,Standard,Classified as Streetlight with Standard priority because the description mentions 'light' and severity indicator 'routine'.,
KC-202411,2024-06-22,Kochi,Ward 2 – Palarivattom,Pipeline Road,Streetlight flickering and sparking. Electrical hazard reported.,Social Media,9,Streetlight,Urgent,Classified as Streetlight with Urgent priority because the description mentions 'light' and severity indicator 'hazard'.,
KC-202413,2024-06-29,Kochi,Ward 1 – Ernakulam North,Broadway Market,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,WhatsApp Helpline,13,Waste,Standard,Classified as Waste with Standard priority because the description mentions 'waste' and severity indicator 'routine'.,
KC-202418,2024-06-02,Kochi,Ward 4 – Panampilly Nagar,Avenue 1,Wedding venue playing music past midnight on weeknights.,Citizen Portal,5,Noise,Standard,Classified as Noise with Standard priority because the description mentions 'noise' and severity indicator 'routine'.,
KC-202419,2024-06-01,Kochi,Ward 2 – Marine Drive,Shanmugham Road,Road surface cracked and sinking near utility work done 1 month ago.,Social Media,2,Road Damage,Standard,Classified as Road Damage with Standard priority because the description mentions 'road damage' and severity indicator 'routine'.,
KC-202420,2024-06-03,Kochi,Ward 1 – MG Road,Jos Junction,Manhole cover missing. Risk of serious injury to pedestrians.,Email,14,Road Damage,Urgent,Classified as Road Damage with Urgent priority because the description mentions 'road damage' and severity indicator 'injury'.,
KC-202427,2024-06-07,Kochi,Ward 5 – Kakkanad,Infopark Expressway,Road floods in 30mins of rain. Becomes inaccessible.,Councillor Referral,12,Flooding,Standard,Classified as Flooding with Standard priority because the description mentions 'flood' and severity indicator 'routine'.,
KC-202428,2024-06-23,Kochi,Ward 3 – Kadavanthra,KP Vallon Road,Dead animal not removed for 36 hours. Health concern.,Email,1,Waste,Standard,Classified as Waste with Standard priority because the description mentions 'waste' and severity indicator 'routine'.,
KC-202430,2024-06-23,Kochi,Ward 1 – Fort Kochi,Heritage zone,Heritage street lights out. Safety concern for tourists after dark.,Social Media,19,Streetlight,Standard,Classified as Streetlight with Standard priority because the description mentions 'light' and severity indicator 'routine'.,
KC-202433,2024-06-08,Kochi,Ward 2 – Thevara,Ferry Road,Bulk waste from apartment renovation dumped on public road.,Phone Helpline,20,Waste,Standard,Classified as Waste with Standard priority because the description mentions 'waste' and severity indicator 'routine'.,
KC-202446,2024-06-09,Kochi,Ward 2 – Ravipuram,MG Road South,Footpath tiles broken and upturned. Elderly resident fell last week.,Email,18,Other,Urgent,Genuinely ambiguous complaint; marked for review.,NEEDS_REVIEW
