complaint_id,category,priority,reason,flag
AM-202401,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202402,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202405,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202406,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202407,Other,Urgent,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202410,Pothole,Standard,Classified based on the presence of 'pothole' in the description.,
AM-202414,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202417,Waste,Standard,Classified based on the presence of 'waste' in the description.,
AM-202421,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202424,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202429,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202431,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202435,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
AM-202444,Waste,Standard,Classified based on the presence of 'waste' in the description.,
AM-202445,Other,Low,Category could not be definitively determined or is ambiguous.,NEEDS_REVIEW
