complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Contains 'pothole' indicating pothole issue,
PM-202402,Pothole,Urgent,Contains 'pothole' indicating pothole issue,
PM-202406,Flooding,Standard,Contains 'flood' indicating flooding issue,
PM-202408,Flooding,Standard,Contains 'flood' indicating flooding issue,
PM-202410,Streetlight,Standard,Contains 'streetlight' indicating streetlight issue,
PM-202411,Streetlight,Urgent,Contains 'streetlight' indicating streetlight issue,
PM-202413,Waste,Standard,Contains 'garbage' indicating waste issue,
PM-202418,Noise,Standard,Contains 'music' indicating noise issue,
PM-202419,Road Damage,Standard,Contains 'road' indicating road damage issue,
PM-202420,Drain Blockage,Urgent,Contains 'manhole' indicating drain blockage issue,
PM-202427,Flooding,Standard,Contains 'flood' indicating flooding issue,
PM-202428,Waste,Standard,Contains 'dead animal' indicating waste issue,
PM-202430,Streetlight,Standard,Contains 'light' indicating streetlight issue,
PM-202433,Waste,Standard,Contains 'waste' indicating waste issue,
PM-202446,Road Damage,Urgent,Contains 'upturned' indicating road damage issue,
