complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,Contains 'heritage' identifying the issue,STABLE
KM-202402,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
KM-202405,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
KM-202409,Pothole,Standard,Contains 'pothole' identifying the issue,STABLE
KM-202410,Pothole,Standard,Contains 'pothole' identifying the issue,STABLE
KM-202411,Pothole,Standard,Contains 'pothole' identifying the issue,STABLE
KM-202415,Drain Blockage,Standard,Contains 'drain' identifying the issue,STABLE
KM-202418,Waste,Standard,Contains 'waste' identifying the issue,STABLE
KM-202421,Other,Urgent,Contains 'hospital' indicating urgency,NEEDS_REVIEW
KM-202422,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
KM-202426,Heritage Damage,Standard,Contains 'heritage' identifying the issue,STABLE
KM-202430,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
KM-202434,Heritage Damage,Standard,Contains 'heritage' identifying the issue,STABLE
KM-202436,Other,Standard,No specific keywords found in description,NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,Contains 'heritage' identifying the issue,STABLE
