complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,The description contains the severity keyword 'ambulance'.,
GH-202402,Flooding,Standard,The description mentions 'Market area flooded'.,
GH-202406,Drain Blockage,Low,The description mentions 'Main stormwater drain 100% blocked with construction debris'.,
GH-202407,Drain Blockage,Low,The description mentions 'Drain blocked and mosquito breeding'.,
GH-202410,Pothole,Low,The description mentions 'Potholes causing vehicles to slow to 20kmph on fast road'.,
GH-202411,Pothole,Urgent,The description contains the severity keyword 'hospital'.,
GH-202412,Pothole,Urgent,The description contains the severity keyword 'school'.,
GH-202417,Waste,Low,The description mentions 'Heritage zone garbage overflow'.,
GH-202420,Noise,Low,The description mentions 'Construction drilling from 5am daily near residential towers'.,
GH-202422,Road Damage,Urgent,The description contains the severity keyword 'collapse'.,
GH-202424,Flooding,Standard,The description mentions 'Underpass floods in light rain'.,
GH-202428,Waste,Low,The description mentions 'Post-market waste not cleared'.,
GH-202432,Noise,Low,The description mentions '24hr supermarket delivery trucks idling with engines on'.,
GH-202448,Flooding,Standard,The description mentions 'Main drain blocked — entire locality at flooding risk this week'.,
GH-202438,Flooding,Standard,The description mentions 'Colony surrounded by fields that channel rainwater through main road'.,
