complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Urgent,"The description mentions 'melting', which indicates the Heat Hazard category.",
AM-202402,Infrastructure,Urgent,"The description mentions 'shelter', which indicates the Infrastructure category.",
AM-202405,Tree Hazard,Urgent,"The description mentions 'trees', which indicates the Tree Hazard category.",
AM-202406,Heat Hazard,Standard,"The description mentions 'heatwave', which indicates the Heat Hazard category.",
AM-202407,Road Damage,Urgent,"The description mentions 'paving', which indicates the Road Damage category.",
AM-202410,Pothole,Standard,"The description mentions 'pothole', which indicates the Pothole category.",
AM-202414,Streetlight,Standard,"The description mentions 'unlit', which indicates the Streetlight category.",
AM-202417,Waste,Standard,"The description mentions 'waste', which indicates the Waste category.",
AM-202421,Noise,Standard,"The description mentions 'music', which indicates the Noise category.",
AM-202424,Road Damage,Standard,"The description mentions 'road surface', which indicates the Road Damage category.",
AM-202429,Heat Hazard,Standard,"The description mentions 'temperature', which indicates the Heat Hazard category.",
AM-202431,Road Damage,Standard,"The description mentions 'road subsidence', which indicates the Road Damage category.",
AM-202435,Heat Hazard,Standard,"The description mentions 'heat', which indicates the Heat Hazard category.",
AM-202444,Waste,Urgent,"The description mentions 'waste', which indicates the Waste category.",
AM-202445,Heat Hazard,Standard,"The description mentions 'sun', which indicates the Heat Hazard category.",
