ward,category,period,actual_spend,previous_period,previous_actual_spend,growth_amount,growth_pct
Ward 1 – Kasba,Drainage & Flooding,2024-01,7.3,,,,
Ward 1 – Kasba,Drainage & Flooding,2024-02,7.4,2024-01,7.3,0.1,1.37
Ward 1 – Kasba,Drainage & Flooding,2024-03,7.7,2024-02,7.4,0.3,4.05
Ward 1 – Kasba,Drainage & Flooding,2024-04,8.2,2024-03,7.7,0.5,6.49
Ward 1 – Kasba,Drainage & Flooding,2024-05,7.2,2024-04,8.2,-1.0,-12.2
Ward 1 – Kasba,Drainage & Flooding,2024-06,8.3,2024-05,7.2,1.1,15.28
Ward 1 – Kasba,Drainage & Flooding,2024-07,13.0,2024-06,8.3,4.7,56.63
Ward 1 – Kasba,Drainage & Flooding,2024-08,11.1,2024-07,13.0,-1.9,-14.62
Ward 1 – Kasba,Drainage & Flooding,2024-09,9.9,2024-08,11.1,-1.2,-10.81
Ward 1 – Kasba,Drainage & Flooding,2024-10,10.8,2024-09,9.9,0.9,9.09
Ward 1 – Kasba,Drainage & Flooding,2024-11,9.4,2024-10,10.8,-1.4,-12.96
Ward 1 – Kasba,Drainage & Flooding,2024-12,9.4,2024-11,9.4,0.0,0.0
Ward 1 – Kasba,Parks & Greening,2024-01,2.4,,,,
Ward 1 – Kasba,Parks & Greening,2024-02,2.3,2024-01,2.4,-0.1,-4.17
Ward 1 – Kasba,Parks & Greening,2024-03,2.4,2024-02,2.3,0.1,4.35
Ward 1 – Kasba,Parks & Greening,2024-04,2.1,2024-03,2.4,-0.3,-12.5
Ward 1 – Kasba,Parks & Greening,2024-05,2.3,2024-04,2.1,0.2,9.52
Ward 1 – Kasba,Parks & Greening,2024-06,2.9,2024-05,2.3,0.6,26.09
Ward 1 – Kasba,Parks & Greening,2024-07,3.1,2024-06,2.9,0.2,6.9
Ward 1 – Kasba,Parks & Greening,2024-08,3.2,2024-07,3.1,0.1,3.23
Ward 1 – Kasba,Parks & Greening,2024-09,2.8,2024-08,3.2,-0.4,-12.5
Ward 1 – Kasba,Parks & Greening,2024-10,2.7,2024-09,2.8,-0.1,-3.57
Ward 1 – Kasba,Parks & Greening,2024-11,2.0,2024-10,2.7,-0.7,-25.93
Ward 1 – Kasba,Parks & Greening,2024-12,2.2,2024-11,2.0,0.2,10.0
Ward 1 – Kasba,Roads & Pothole Repair,2024-01,13.3,,,,
Ward 1 – Kasba,Roads & Pothole Repair,2024-02,12.2,2024-01,13.3,-1.1,-8.27
Ward 1 – Kasba,Roads & Pothole Repair,2024-03,12.3,2024-02,12.2,0.1,0.82
Ward 1 – Kasba,Roads & Pothole Repair,2024-04,13.4,2024-03,12.3,1.1,8.94
Ward 1 – Kasba,Roads & Pothole Repair,2024-05,14.1,2024-04,13.4,0.7,5.22
Ward 1 – Kasba,Roads & Pothole Repair,2024-06,14.8,2024-05,14.1,0.7,4.96
Ward 1 – Kasba,Roads & Pothole Repair,2024-07,19.7,2024-06,14.8,4.9,33.11
Ward 1 – Kasba,Roads & Pothole Repair,2024-08,20.2,2024-07,19.7,0.5,2.54
Ward 1 – Kasba,Roads & Pothole Repair,2024-09,20.1,2024-08,20.2,-0.1,-0.5
Ward 1 – Kasba,Roads & Pothole Repair,2024-10,13.1,2024-09,20.1,-7.0,-34.83
Ward 1 – Kasba,Roads & Pothole Repair,2024-11,14.2,2024-10,13.1,1.1,8.4
Ward 1 – Kasba,Roads & Pothole Repair,2024-12,12.7,2024-11,14.2,-1.5,-10.56
Ward 1 – Kasba,Streetlight Maintenance,2024-01,3.0,,,,
Ward 1 – Kasba,Streetlight Maintenance,2024-02,2.8,2024-01,3.0,-0.2,-6.67
Ward 1 – Kasba,Streetlight Maintenance,2024-03,3.0,2024-02,2.8,0.2,7.14
Ward 1 – Kasba,Streetlight Maintenance,2024-04,3.6,2024-03,3.0,0.6,20.0
Ward 1 – Kasba,Streetlight Maintenance,2024-05,3.4,2024-04,3.6,-0.2,-5.56
Ward 1 – Kasba,Streetlight Maintenance,2024-06,3.5,2024-05,3.4,0.1,2.94
Ward 1 – Kasba,Streetlight Maintenance,2024-07,4.5,2024-06,3.5,1.0,28.57
Ward 1 – Kasba,Streetlight Maintenance,2024-08,4.3,2024-07,4.5,-0.2,-4.44
Ward 1 – Kasba,Streetlight Maintenance,2024-09,4.2,2024-08,4.3,-0.1,-2.33
Ward 1 – Kasba,Streetlight Maintenance,2024-10,3.4,2024-09,4.2,-0.8,-19.05
Ward 1 – Kasba,Streetlight Maintenance,2024-11,3.1,2024-10,3.4,-0.3,-8.82
Ward 1 – Kasba,Streetlight Maintenance,2024-12,3.5,2024-11,3.1,0.4,12.9
Ward 1 – Kasba,Waste Management,2024-01,5.3,,,,
Ward 1 – Kasba,Waste Management,2024-02,6.4,2024-01,5.3,1.1,20.75
Ward 1 – Kasba,Waste Management,2024-03,6.5,2024-02,6.4,0.1,1.56
Ward 1 – Kasba,Waste Management,2024-04,5.7,2024-03,6.5,-0.8,-12.31
Ward 1 – Kasba,Waste Management,2024-05,6.1,2024-04,5.7,0.4,7.02
Ward 1 – Kasba,Waste Management,2024-06,5.7,2024-05,6.1,-0.4,-6.56
Ward 1 – Kasba,Waste Management,2024-07,7.6,2024-06,5.7,1.9,33.33
Ward 1 – Kasba,Waste Management,2024-08,8.3,2024-07,7.6,0.7,9.21
Ward 1 – Kasba,Waste Management,2024-09,8.9,2024-08,8.3,0.6,7.23
Ward 1 – Kasba,Waste Management,2024-10,6.8,2024-09,8.9,-2.1,-23.6
Ward 1 – Kasba,Waste Management,2024-11,,2024-10,6.8,,
Ward 1 – Kasba,Waste Management,2024-12,5.1,2024-10,6.8,-1.7,-25.0
Ward 2 – Shivajinagar,Drainage & Flooding,2024-01,10.9,,,,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-02,10.4,2024-01,10.9,-0.5,-4.59
Ward 2 – Shivajinagar,Drainage & Flooding,2024-03,,2024-02,10.4,,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-04,10.0,2024-02,10.4,-0.4,-3.85
Ward 2 – Shivajinagar,Drainage & Flooding,2024-05,10.2,2024-04,10.0,0.2,2.0
Ward 2 – Shivajinagar,Drainage & Flooding,2024-06,12.3,2024-05,10.2,2.1,20.59
Ward 2 – Shivajinagar,Drainage & Flooding,2024-07,12.6,2024-06,12.3,0.3,2.44
Ward 2 – Shivajinagar,Drainage & Flooding,2024-08,12.8,2024-07,12.6,0.2,1.59
Ward 2 – Shivajinagar,Drainage & Flooding,2024-09,12.9,2024-08,12.8,0.1,0.78
Ward 2 – Shivajinagar,Drainage & Flooding,2024-10,11.5,2024-09,12.9,-1.4,-10.85
Ward 2 – Shivajinagar,Drainage & Flooding,2024-11,10.4,2024-10,11.5,-1.1,-9.57
Ward 2 – Shivajinagar,Drainage & Flooding,2024-12,8.4,2024-11,10.4,-2.0,-19.23
Ward 2 – Shivajinagar,Parks & Greening,2024-01,1.6,,,,
Ward 2 – Shivajinagar,Parks & Greening,2024-02,1.8,2024-01,1.6,0.2,12.5
Ward 2 – Shivajinagar,Parks & Greening,2024-03,1.7,2024-02,1.8,-0.1,-5.56
Ward 2 – Shivajinagar,Parks & Greening,2024-04,2.1,2024-03,1.7,0.4,23.53
Ward 2 – Shivajinagar,Parks & Greening,2024-05,1.8,2024-04,2.1,-0.3,-14.29
Ward 2 – Shivajinagar,Parks & Greening,2024-06,2.4,2024-05,1.8,0.6,33.33
Ward 2 – Shivajinagar,Parks & Greening,2024-07,2.3,2024-06,2.4,-0.1,-4.17
Ward 2 – Shivajinagar,Parks & Greening,2024-08,2.3,2024-07,2.3,0.0,0.0
Ward 2 – Shivajinagar,Parks & Greening,2024-09,2.5,2024-08,2.3,0.2,8.7
Ward 2 – Shivajinagar,Parks & Greening,2024-10,1.9,2024-09,2.5,-0.6,-24.0
Ward 2 – Shivajinagar,Parks & Greening,2024-11,1.9,2024-10,1.9,0.0,0.0
Ward 2 – Shivajinagar,Parks & Greening,2024-12,1.7,2024-11,1.9,-0.2,-10.53
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-01,16.2,,,,
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-02,16.8,2024-01,16.2,0.6,3.7
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-03,15.9,2024-02,16.8,-0.9,-5.36
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-04,14.3,2024-03,15.9,-1.6,-10.06
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-05,14.4,2024-04,14.3,0.1,0.7
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-06,19.7,2024-05,14.4,5.3,36.81
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-07,23.4,2024-06,19.7,3.7,18.78
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-08,22.8,2024-07,23.4,-0.6,-2.56
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-09,24.6,2024-08,22.8,1.8,7.89
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-10,17.3,2024-09,24.6,-7.3,-29.67
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-11,17.0,2024-10,17.3,-0.3,-1.73
Ward 2 – Shivajinagar,Roads & Pothole Repair,2024-12,14.4,2024-11,17.0,-2.6,-15.29
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-01,3.8,,,,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-02,4.4,2024-01,3.8,0.6,15.79
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-03,3.9,2024-02,4.4,-0.5,-11.36
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-04,4.0,2024-03,3.9,0.1,2.56
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-05,3.8,2024-04,4.0,-0.2,-5.0
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-06,4.7,2024-05,3.8,0.9,23.68
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-07,6.0,2024-06,4.7,1.3,27.66
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-08,5.6,2024-07,6.0,-0.4,-6.67
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-09,6.6,2024-08,5.6,1.0,17.86
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-10,5.0,2024-09,6.6,-1.6,-24.24
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-11,4.5,2024-10,5.0,-0.5,-10.0
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-12,4.7,2024-11,4.5,0.2,4.44
Ward 2 – Shivajinagar,Waste Management,2024-01,6.1,,,,
Ward 2 – Shivajinagar,Waste Management,2024-02,7.1,2024-01,6.1,1.0,16.39
