period,ward,category,actual_spend,growth_rate,formula_shown,flag
2024-01,Ward 2 – Shivajinagar,Drainage & Flooding,10.9,,N/A — first period,
2024-02,Ward 2 – Shivajinagar,Drainage & Flooding,10.4,-4.6%,MoM: (10.4 − 10.9) / 10.9 = -4.6%,
2024-03,Ward 2 – Shivajinagar,Drainage & Flooding,NULL,,,NULL — Data not submitted by ward office
2024-04,Ward 2 – Shivajinagar,Drainage & Flooding,10.0,,N/A — previous period (2024-03) was NULL,
2024-05,Ward 2 – Shivajinagar,Drainage & Flooding,10.2,+2.0%,MoM: (10.2 − 10.0) / 10.0 = +2.0%,
2024-06,Ward 2 – Shivajinagar,Drainage & Flooding,12.3,+20.6%,MoM: (12.3 − 10.2) / 10.2 = +20.6%,
2024-07,Ward 2 – Shivajinagar,Drainage & Flooding,12.6,+2.4%,MoM: (12.6 − 12.3) / 12.3 = +2.4%,
2024-08,Ward 2 – Shivajinagar,Drainage & Flooding,12.8,+1.6%,MoM: (12.8 − 12.6) / 12.6 = +1.6%,
2024-09,Ward 2 – Shivajinagar,Drainage & Flooding,12.9,+0.8%,MoM: (12.9 − 12.8) / 12.8 = +0.8%,
2024-10,Ward 2 – Shivajinagar,Drainage & Flooding,11.5,-10.9%,MoM: (11.5 − 12.9) / 12.9 = -10.9%,
2024-11,Ward 2 – Shivajinagar,Drainage & Flooding,10.4,-9.6%,MoM: (10.4 − 11.5) / 11.5 = -9.6%,
2024-12,Ward 2 – Shivajinagar,Drainage & Flooding,8.4,-19.2%,MoM: (8.4 − 10.4) / 10.4 = -19.2%,
