period,ward,category,actual_spend,growth,formula,status,null_reason
2024-01,Ward 2 – Shivajinagar,Roads & Pothole Repair,16.2,NULL,First period in series - No previous data for MoM,FLAGGED,n/a
2024-02,Ward 2 – Shivajinagar,Roads & Pothole Repair,16.8,+3.7%,(16.8 - 16.2) / 16.2,OK,n/a
2024-03,Ward 2 – Shivajinagar,Roads & Pothole Repair,15.9,-5.4%,(15.9 - 16.8) / 16.8,OK,n/a
2024-04,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.3,-10.1%,(14.3 - 15.9) / 15.9,OK,n/a
2024-05,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.4,+0.7%,(14.4 - 14.3) / 14.3,OK,n/a
2024-06,Ward 2 – Shivajinagar,Roads & Pothole Repair,19.7,+36.8%,(19.7 - 14.4) / 14.4,OK,n/a
2024-07,Ward 2 – Shivajinagar,Roads & Pothole Repair,23.4,+18.8%,(23.4 - 19.7) / 19.7,OK,n/a
2024-08,Ward 2 – Shivajinagar,Roads & Pothole Repair,22.8,-2.6%,(22.8 - 23.4) / 23.4,OK,n/a
2024-09,Ward 2 – Shivajinagar,Roads & Pothole Repair,24.6,+7.9%,(24.6 - 22.8) / 22.8,OK,n/a
2024-10,Ward 2 – Shivajinagar,Roads & Pothole Repair,17.3,-29.7%,(17.3 - 24.6) / 24.6,OK,n/a
2024-11,Ward 2 – Shivajinagar,Roads & Pothole Repair,17.0,-1.7%,(17.0 - 17.3) / 17.3,OK,n/a
2024-12,Ward 2 – Shivajinagar,Roads & Pothole Repair,14.4,-15.3%,(14.4 - 17.0) / 17.0,OK,n/a
