period,ward,category,actual_spend,growth_value,growth_type,formula_used,status,null_reason
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.2,,MOM,MoM = (current - previous) / previous * 100,not_computed_missing_previous_period,
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.7,4.90196,MOM,MoM = (current - previous) / previous * 100,computed,
2024-03,Ward 4 – Warje,Roads & Pothole Repair,11.1,3.73832,MOM,MoM = (current - previous) / previous * 100,computed,
2024-04,Ward 4 – Warje,Roads & Pothole Repair,8.8,-20.7207,MOM,MoM = (current - previous) / previous * 100,computed,
2024-05,Ward 4 – Warje,Roads & Pothole Repair,11.3,28.4091,MOM,MoM = (current - previous) / previous * 100,computed,
2024-06,Ward 4 – Warje,Roads & Pothole Repair,12.5,10.6195,MOM,MoM = (current - previous) / previous * 100,computed,
2024-07,Ward 4 – Warje,Roads & Pothole Repair,,,MOM,,null_flagged_with_reason,Audit freeze — figures under review
2024-08,Ward 4 – Warje,Roads & Pothole Repair,16,,MOM,MoM = (current - previous) / previous * 100,not_computed_previous_period_null,
2024-09,Ward 4 – Warje,Roads & Pothole Repair,14.7,-8.125,MOM,MoM = (current - previous) / previous * 100,computed,
2024-10,Ward 4 – Warje,Roads & Pothole Repair,11,-25.1701,MOM,MoM = (current - previous) / previous * 100,computed,
2024-11,Ward 4 – Warje,Roads & Pothole Repair,9,-18.1818,MOM,MoM = (current - previous) / previous * 100,computed,
2024-12,Ward 4 – Warje,Roads & Pothole Repair,11.2,24.4444,MOM,MoM = (current - previous) / previous * 100,computed,
