period,ward,category,actual_spend,growth,formula,notes
2024-01,Ward 1 – Kasba,Drainage & Flooding,7.3,n/a,n/a (First Period),
2024-02,Ward 1 – Kasba,Drainage & Flooding,7.4,+1.4%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 1 – Kasba,Drainage & Flooding,7.7,+4.1%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 1 – Kasba,Drainage & Flooding,8.2,+6.5%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 1 – Kasba,Drainage & Flooding,7.2,-12.2%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 1 – Kasba,Drainage & Flooding,8.3,+15.3%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 1 – Kasba,Drainage & Flooding,13.0,+56.6%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 1 – Kasba,Drainage & Flooding,11.1,-14.6%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 1 – Kasba,Drainage & Flooding,9.9,-10.8%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 1 – Kasba,Drainage & Flooding,10.8,+9.1%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 1 – Kasba,Drainage & Flooding,9.4,-13.0%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 1 – Kasba,Drainage & Flooding,9.4,0.0%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 1 – Kasba,Parks & Greening,2.4,n/a,n/a (First Period),
2024-02,Ward 1 – Kasba,Parks & Greening,2.3,-4.2%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 1 – Kasba,Parks & Greening,2.4,+4.3%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 1 – Kasba,Parks & Greening,2.1,-12.5%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 1 – Kasba,Parks & Greening,2.3,+9.5%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 1 – Kasba,Parks & Greening,2.9,+26.1%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 1 – Kasba,Parks & Greening,3.1,+6.9%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 1 – Kasba,Parks & Greening,3.2,+3.2%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 1 – Kasba,Parks & Greening,2.8,-12.5%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 1 – Kasba,Parks & Greening,2.7,-3.6%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 1 – Kasba,Parks & Greening,2.0,-25.9%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 1 – Kasba,Parks & Greening,2.2,+10.0%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 1 – Kasba,Roads & Pothole Repair,13.3,n/a,n/a (First Period),
2024-02,Ward 1 – Kasba,Roads & Pothole Repair,12.2,-8.3%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 1 – Kasba,Roads & Pothole Repair,12.3,+0.8%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 1 – Kasba,Roads & Pothole Repair,13.4,+8.9%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 1 – Kasba,Roads & Pothole Repair,14.1,+5.2%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 1 – Kasba,Roads & Pothole Repair,14.8,+5.0%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 1 – Kasba,Roads & Pothole Repair,19.7,+33.1%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 1 – Kasba,Roads & Pothole Repair,20.2,+2.5%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 1 – Kasba,Roads & Pothole Repair,20.1,-0.5%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 1 – Kasba,Roads & Pothole Repair,13.1,-34.8%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 1 – Kasba,Roads & Pothole Repair,14.2,+8.4%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 1 – Kasba,Roads & Pothole Repair,12.7,-10.6%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 1 – Kasba,Streetlight Maintenance,3.0,n/a,n/a (First Period),
2024-02,Ward 1 – Kasba,Streetlight Maintenance,2.8,-6.7%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 1 – Kasba,Streetlight Maintenance,3.0,+7.1%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 1 – Kasba,Streetlight Maintenance,3.6,+20.0%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 1 – Kasba,Streetlight Maintenance,3.4,-5.6%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 1 – Kasba,Streetlight Maintenance,3.5,+2.9%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 1 – Kasba,Streetlight Maintenance,4.5,+28.6%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
2024-08,Ward 1 – Kasba,Streetlight Maintenance,4.3,-4.4%,(Actual[2024-08] - Actual[2024-07]) / Actual[2024-07],
2024-09,Ward 1 – Kasba,Streetlight Maintenance,4.2,-2.3%,(Actual[2024-09] - Actual[2024-08]) / Actual[2024-08],
2024-10,Ward 1 – Kasba,Streetlight Maintenance,3.4,-19.0%,(Actual[2024-10] - Actual[2024-09]) / Actual[2024-09],
2024-11,Ward 1 – Kasba,Streetlight Maintenance,3.1,-8.8%,(Actual[2024-11] - Actual[2024-10]) / Actual[2024-10],
2024-12,Ward 1 – Kasba,Streetlight Maintenance,3.5,+12.9%,(Actual[2024-12] - Actual[2024-11]) / Actual[2024-11],
2024-01,Ward 1 – Kasba,Waste Management,5.3,n/a,n/a (First Period),
2024-02,Ward 1 – Kasba,Waste Management,6.4,+20.8%,(Actual[2024-02] - Actual[2024-01]) / Actual[2024-01],
2024-03,Ward 1 – Kasba,Waste Management,6.5,+1.6%,(Actual[2024-03] - Actual[2024-02]) / Actual[2024-02],
2024-04,Ward 1 – Kasba,Waste Management,5.7,-12.3%,(Actual[2024-04] - Actual[2024-03]) / Actual[2024-03],
2024-05,Ward 1 – Kasba,Waste Management,6.1,+7.0%,(Actual[2024-05] - Actual[2024-04]) / Actual[2024-04],
2024-06,Ward 1 – Kasba,Waste Management,5.7,-6.6%,(Actual[2024-06] - Actual[2024-05]) / Actual[2024-05],
2024-07,Ward 1 – Kasba,Waste Management,7.6,+33.3%,(Actual[2024-07] - Actual[2024-06]) / Actual[2024-06],
