ward,category,period,actual_spend,growth_value,formula,null_flag,null_reason
Ward 4 – Warje,Roads & Pothole Repair,2024-01,10.2,N/A,No previous period for comparison,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-02,10.7,4.9,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-03,11.1,3.74,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-04,8.8,-20.72,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-05,11.3,28.41,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-06,12.5,10.62,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-07,,NULL,N/A — actual_spend is null,TRUE,Audit freeze — figures under review
Ward 4 – Warje,Roads & Pothole Repair,2024-08,16.0,28.0,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-09,14.7,-8.13,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-10,11.0,-25.17,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-11,9.0,-18.18,((current - previous) / previous) * 100,FALSE,
Ward 4 – Warje,Roads & Pothole Repair,2024-12,11.2,24.44,((current - previous) / previous) * 100,FALSE,
