ward,category,period,budgeted_amount,actual_spend,growth_pct,formula_used,notes
Ward 2 – Shivajinagar,Drainage & Flooding,2024-01,10.0,10.9,N/A (First period),MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,First period in dataset
Ward 2 – Shivajinagar,Drainage & Flooding,2024-02,10.0,10.4,-4.6%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-03,10.0,NULL,NULL,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,FLAGGED: Current period spend is NULL. Reason: Data not submitted by ward office
Ward 2 – Shivajinagar,Drainage & Flooding,2024-04,10.0,10.0,NULL,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,FLAGGED: Prior period (2024-03) spend was NULL.
Ward 2 – Shivajinagar,Drainage & Flooding,2024-05,10.0,10.2,+2.0%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-06,10.0,12.3,+20.6%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-07,10.0,12.6,+2.4%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-08,10.0,12.8,+1.6%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-09,10.0,12.9,+0.8%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-10,10.0,11.5,-10.9%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-11,10.0,10.4,-9.6%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-12,10.0,8.4,-19.2%,MoM Growth = ((Spend_t - Spend_{t-1}) / Spend_{t-1}) * 100,
