period,ward,category,actual_spend,growth,formula,status,null_reason
2024-01,Ward 4 – Warje,Roads & Pothole Repair,10.2,NULL,First period in series - No previous data for MoM,FLAGGED,n/a
2024-02,Ward 4 – Warje,Roads & Pothole Repair,10.7,+4.9%,(10.7 - 10.2) / 10.2,OK,n/a
2024-03,Ward 4 – Warje,Roads & Pothole Repair,11.1,+3.7%,(11.1 - 10.7) / 10.7,OK,n/a
2024-04,Ward 4 – Warje,Roads & Pothole Repair,8.8,-20.7%,(8.8 - 11.1) / 11.1,OK,n/a
2024-05,Ward 4 – Warje,Roads & Pothole Repair,11.3,+28.4%,(11.3 - 8.8) / 8.8,OK,n/a
2024-06,Ward 4 – Warje,Roads & Pothole Repair,12.5,+10.6%,(12.5 - 11.3) / 11.3,OK,n/a
2024-07,Ward 4 – Warje,Roads & Pothole Repair,NULL,NULL,Cannot compute MoM - Current period value is missing,FLAGGED,Audit freeze — figures under review
2024-08,Ward 4 – Warje,Roads & Pothole Repair,16.0,NULL,Cannot compute MoM - Previous period (2024-07) value is missing,FLAGGED,n/a
2024-09,Ward 4 – Warje,Roads & Pothole Repair,14.7,-8.1%,(14.7 - 16.0) / 16.0,OK,n/a
2024-10,Ward 4 – Warje,Roads & Pothole Repair,11.0,-25.2%,(11.0 - 14.7) / 14.7,OK,n/a
2024-11,Ward 4 – Warje,Roads & Pothole Repair,9.0,-18.2%,(9.0 - 11.0) / 11.0,OK,n/a
2024-12,Ward 4 – Warje,Roads & Pothole Repair,11.2,+24.4%,(11.2 - 9.0) / 9.0,OK,n/a
