ward,category,period,budgeted_amount,actual_spend,growth_result,formula_used,notes
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-01,4.4,3.8,N/A,First period (no prior data),
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-02,4.4,4.4,+15.8%,(4.4 - 3.8) / 3.8,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-03,4.4,3.9,-11.4%,(3.9 - 4.4) / 4.4,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-04,4.4,4.0,+2.6%,(4.0 - 3.9) / 3.9,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-05,4.4,3.8,-5.0%,(3.8 - 4.0) / 4.0,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-06,4.4,4.7,+23.7%,(4.7 - 3.8) / 3.8,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-07,4.4,6.0,+27.7%,(6.0 - 4.7) / 4.7,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-08,4.4,5.6,-6.7%,(5.6 - 6.0) / 6.0,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-09,4.4,6.6,+17.9%,(6.6 - 5.6) / 5.6,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-10,4.4,5.0,-24.2%,(5.0 - 6.6) / 6.6,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-11,4.4,4.5,-10.0%,(4.5 - 5.0) / 5.0,
Ward 2 – Shivajinagar,Streetlight Maintenance,2024-12,4.4,4.7,+4.4%,(4.7 - 4.5) / 4.5,
